#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,nodo
,,0,2025-03-18T15:00:00Z,2025-03-19T15:00:00.628Z,2025-03-18T17:33:59.206Z,54.796,leq,leq,1
,,0,2025-03-18T15:00:00Z,2025-03-19T15:00:00.628Z,2025-03-18T17:37:59.208Z,59.92895833,leq,leq,1
,,0,2025-03-18T15:00:00Z,2025-03-19T15:00:00.628Z,2025-03-18T17:41:59.21Z,66.9225,leq,leq,1
,,0,2025-03-18T15:00:00Z,2025-03-19T15:00:00.628Z,2025-03-18T17:45:59.212Z,63.21354167,leq,leq,1
,,0,2025-03-18T15:00:00Z,2025-03-19T15:00:00.628Z,2025-03-18T17:49:59.214Z,61.47684211,leq,leq,1
,,0,2025-03-18T15:00:00Z,2025-03-19T15:00:00.628Z,2025-03-18T17:53:59.216Z,65.42645833,leq,leq,1
,,0,2025-03-18T15:00:00Z,2025-03-19T15:00:00.628Z,2025-03-18T17:57:59.218Z,62.59916667,leq,leq,1
,,0,2025-03-18T15:00:00Z,2025-03-19T15:00:00.628Z,2025-03-18T18:01:59.22Z,61.869375,leq,leq,1
,,0,2025-03-18T15:00:00Z,2025-03-19T15:00:00.628Z,2025-03-18T18:05:59.222Z,60.92333333,leq,leq,1
,,0,2025-03-18T15:00:00Z,2025-03-19T15:00:00.628Z,2025-03-18T18:09:59.224Z,61.08041667,leq,leq,1
,,0,2025-03-18T15:00:00Z,2025-03-19T15:00:00.628Z,2025-03-18T18:13:59.226Z,61.078125,leq,leq,1
,,0,2025-03-18T15:00:00Z,2025-03-19T15:00:00.628Z,2025-03-18T18:17:59.228Z,61.745,leq,leq,1
,,0,2025-03-18T15:00:00Z,2025-03-19T15:00:00.628Z,2025-03-18T18:21:59.23Z,61.15375,leq,leq,1
,,0,2025-03-18T15:00:00Z,2025-03-19T15:00:00.628Z,2025-03-18T18:25:59.232Z,60.97854167,leq,leq,1
,,0,2025-03-18T15:00:00Z,2025-03-19T15:00:00.628Z,2025-03-18T18:29:59.234Z,60.62291667,leq,leq,1
,,0,2025-03-18T15:00:00Z,2025-03-19T15:00:00.628Z,2025-03-18T18:33:59.236Z,59.93333333,leq,leq,1
,,0,2025-03-18T15:00:00Z,2025-03-19T15:00:00.628Z,2025-03-18T18:37:59.238Z,59.39104167,leq,leq,1
,,0,2025-03-18T15:00:00Z,2025-03-19T15:00:00.628Z,2025-03-18T18:41:59.24Z,61.46666667,leq,leq,1
,,0,2025-03-18T15:00:00Z,2025-03-19T15:00:00.628Z,2025-03-18T18:45:59.242Z,61.28666667,leq,leq,1
,,0,2025-03-18T15:00:00Z,2025-03-19T15:00:00.628Z,2025-03-18T18:49:59.244Z,61.48041667,leq,leq,1
,,0,2025-03-18T15:00:00Z,2025-03-19T15:00:00.628Z,2025-03-18T18:53:59.246Z,60.72854167,leq,leq,1
,,0,2025-03-18T15:00:00Z,2025-03-19T15:00:00.628Z,2025-03-18T18:57:59.248Z,64.96395833,leq,leq,1
,,0,2025-03-18T15:00:00Z,2025-03-19T15:00:00.628Z,2025-03-18T19:01:59.25Z,63.32333333,leq,leq,1
,,0,2025-03-18T15:00:00Z,2025-03-19T15:00:00.628Z,2025-03-18T19:05:59.252Z,64.63729167,leq,leq,1
,,0,2025-03-18T15:00:00Z,2025-03-19T15:00:00.628Z,2025-03-18T19:09:59.254Z,63.439375,leq,leq,1
,,0,2025-03-18T15:00:00Z,2025-03-19T15:00:00.628Z,2025-03-18T19:13:59.256Z,61.7575,leq,leq,1
,,0,2025-03-18T15:00:00Z,2025-03-19T15:00:00.628Z,2025-03-18T19:17:59.258Z,63.47770833,leq,leq,1
,,0,2025-03-18T15:00:00Z,2025-03-19T15:00:00.628Z,2025-03-18T19:21:59.26Z,62.02208333,leq,leq,1
,,0,2025-03-18T15:00:00Z,2025-03-19T15:00:00.628Z,2025-03-18T19:25:59.262Z,59.32854167,leq,leq,1
,,0,2025-03-18T15:00:00Z,2025-03-19T15:00:00.628Z,2025-03-18T19:29:59.264Z,59.836875,leq,leq,1
,,0,2025-03-18T15:00:00Z,2025-03-19T15:00:00.628Z,2025-03-18T19:33:59.266Z,61.16520833,leq,leq,1
,,0,2025-03-18T15:00:00Z,2025-03-19T15:00:00.628Z,2025-03-18T19:37:59.268Z,62.56645833,leq,leq,1
,,0,2025-03-18T15:00:00Z,2025-03-19T15:00:00.628Z,2025-03-18T19:41:59.27Z,61.785,leq,leq,1
,,0,2025-03-18T15:00:00Z,2025-03-19T15:00:00.628Z,2025-03-18T19:45:59.272Z,63.91270833,leq,leq,1
,,0,2025-03-18T15:00:00Z,2025-03-19T15:00:00.628Z,2025-03-18T19:49:59.274Z,60.17604167,leq,leq,1
,,0,2025-03-18T15:00:00Z,2025-03-19T15:00:00.628Z,2025-03-18T19:53:59.276Z,62.34479167,leq,leq,1
,,0,2025-03-18T15:00:00Z,2025-03-19T15:00:00.628Z,2025-03-18T19:57:59.278Z,64.30166667,leq,leq,1
,,0,2025-03-18T15:00:00Z,2025-03-19T15:00:00.628Z,2025-03-18T20:01:59.28Z,64.8,leq,leq,1
,,0,2025-03-18T15:00:00Z,2025-03-19T15:00:00.628Z,2025-03-18T20:05:59.282Z,62.20895833,leq,leq,1
,,0,2025-03-18T15:00:00Z,2025-03-19T15:00:00.628Z,2025-03-18T20:09:59.284Z,62.33416667,leq,leq,1
,,0,2025-03-18T15:00:00Z,2025-03-19T15:00:00.628Z,2025-03-18T20:13:59.286Z,63.20270833,leq,leq,1
,,0,2025-03-18T15:00:00Z,2025-03-19T15:00:00.628Z,2025-03-18T20:17:59.288Z,61.639375,leq,leq,1
,,0,2025-03-18T15:00:00Z,2025-03-19T15:00:00.628Z,2025-03-18T20:21:59.29Z,62.19145833,leq,leq,1
,,0,2025-03-18T15:00:00Z,2025-03-19T15:00:00.628Z,2025-03-18T20:25:59.292Z,63.53791667,leq,leq,1
,,0,2025-03-18T15:00:00Z,2025-03-19T15:00:00.628Z,2025-03-18T20:29:59.294Z,61.534375,leq,leq,1
,,0,2025-03-18T15:00:00Z,2025-03-19T15:00:00.628Z,2025-03-18T20:33:59.296Z,62.78854167,leq,leq,1
,,0,2025-03-18T15:00:00Z,2025-03-19T15:00:00.628Z,2025-03-18T20:37:59.298Z,63.156875,leq,leq,1
